Price hub,Trade date,Delivery start date,"Delivery 
end date",High price $/MWh,Low price $/MWh,Wtd avg price $/MWh,Change,Daily volume MWh,Number of trades,Number of counterparties
Palo Verde Peak,12/31/2019 0:00,1/2/2020 0:00,1/2/2020 0:00,23,20,21.25,-7.83,6800,17,13
SP15 EZ Gen DA LMP Peak,12/31/2019 0:00,1/2/2020 0:00,1/2/2020 0:00,36,35,35.67,-3.62,2400,6,5
Nepool MH DA LMP Peak,12/31/2019 0:00,1/2/2020 0:00,1/2/2020 0:00,24,24,24,-1.75,8800,11,5
Mid C Peak,12/31/2019 0:00,1/2/2020 0:00,1/2/2020 0:00,32.75,28,29.24,-0.06,20800,52,16
PJM WH Real Time Peak,12/31/2019 0:00,1/2/2020 0:00,1/2/2020 0:00,23.5,23,23.33,2.33,2400,3,6
PJM WH Real Time Peak,1/2/2020 0:00,1/3/2020 0:00,1/3/2020 0:00,22,21.5,21.55,-1.78,12000,15,13
Mid C Peak,1/2/2020 0:00,1/3/2020 0:00,1/4/2020 0:00,24.5,23.5,23.92,-5.32,24800,31,16
Nepool MH DA LMP Peak,1/2/2020 0:00,1/3/2020 0:00,1/3/2020 0:00,26.75,26.5,26.63,2.63,1600,2,4
SP15 EZ Gen DA LMP Peak,1/2/2020 0:00,1/3/2020 0:00,1/4/2020 0:00,32.25,32,32.02,-3.65,12000,13,8
Palo Verde Peak,1/2/2020 0:00,1/3/2020 0:00,1/4/2020 0:00,21,20.5,20.79,-0.46,15200,19,9
Mid C Peak,1/3/2020 0:00,1/6/2020 0:00,1/6/2020 0:00,32,29,30.95,7.03,16000,40,17
PJM WH Real Time Peak,1/3/2020 0:00,1/6/2020 0:00,1/6/2020 0:00,26,26,26,4.45,800,1,2
Palo Verde Peak,1/3/2020 0:00,1/6/2020 0:00,1/6/2020 0:00,21,20,20.35,-0.44,6800,17,10
SP15 EZ Gen DA LMP Peak,1/3/2020 0:00,1/6/2020 0:00,1/6/2020 0:00,36.5,34.25,34.77,2.75,16000,35,17
Mid C Peak,1/6/2020 0:00,1/7/2020 0:00,1/7/2020 0:00,28,25.25,26.22,-4.73,17600,44,19
Palo Verde Peak,1/6/2020 0:00,1/7/2020 0:00,1/7/2020 0:00,20,15,16.4,-3.95,9600,24,14
SP15 EZ Gen DA LMP Peak,1/6/2020 0:00,1/7/2020 0:00,1/7/2020 0:00,40,39,39.71,4.94,2800,7,7
PJM WH Real Time Peak,1/6/2020 0:00,1/7/2020 0:00,1/7/2020 0:00,27.05,26.75,26.92,0.92,12000,14,14
Nepool MH DA LMP Peak,1/7/2020 0:00,1/8/2020 0:00,1/8/2020 0:00,33,30,30.62,3.99,25600,31,17
Mid C Peak,1/7/2020 0:00,1/8/2020 0:00,1/8/2020 0:00,30.5,21,24.44,-1.78,26400,66,24
Palo Verde Peak,1/7/2020 0:00,1/8/2020 0:00,1/8/2020 0:00,19,16.5,17.47,1.07,10800,26,11
SP15 EZ Gen DA LMP Peak,1/7/2020 0:00,1/8/2020 0:00,1/8/2020 0:00,34,33,33.47,-6.24,21600,45,16
Nepool MH DA LMP Peak,1/8/2020 0:00,1/9/2020 0:00,1/9/2020 0:00,32.25,28,28.78,-1.84,46400,55,23
Mid C Peak,1/8/2020 0:00,1/9/2020 0:00,1/9/2020 0:00,35,32.5,34.07,9.63,30400,71,17
PJM WH Real Time Peak,1/8/2020 0:00,1/9/2020 0:00,1/9/2020 0:00,26,25.75,25.87,-1.05,10400,13,12
Palo Verde Peak,1/8/2020 0:00,1/9/2020 0:00,1/9/2020 0:00,20,17.25,18.58,1.11,11200,26,15
SP15 EZ Gen DA LMP Peak,1/8/2020 0:00,1/9/2020 0:00,1/9/2020 0:00,39,38,38.34,4.87,18000,30,14
Palo Verde Peak,1/9/2020 0:00,1/10/2020 0:00,1/11/2020 0:00,21,19,20.14,1.56,20000,25,12
PJM WH Real Time Peak,1/9/2020 0:00,1/10/2020 0:00,1/10/2020 0:00,22,21.75,21.81,-4.06,7200,9,10
SP15 EZ Gen DA LMP Peak,1/9/2020 0:00,1/10/2020 0:00,1/11/2020 0:00,36,35.5,35.95,-2.39,8800,11,7
Mid C Peak,1/9/2020 0:00,1/10/2020 0:00,1/11/2020 0:00,31.25,27.25,28.18,-5.89,29600,36,11
